
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
